==============================================
  IPPO Unfair Coin Game - 3 Agents (7:1:1)
  Reward type: Individual
  Seed: 42
==============================================
Job ID: 18743369
Node: gcn134
Time limit: 20 hours
Agents: 3
Coin probabilities: 7:1:1 (agent 0: 77.78%, agents 1&2: 11.11% each)
Reward type: Individual
Seed: 42

Loading modules...
Activating virtual environment...

🔍 Verifying JAX GPU setup...
   JAX 0.4.30, Backend: gpu, Devices: [cuda(id=0)]

==============================================
  Running: ippo_unfair_coin_3agents_711_ind
  Config: Full paper experiment (1B timesteps)
  Environment: Unfair Coin Game
  Agents: 3
  Coin probabilities: 7:1:1
  Reward type: Individual
  Seed: 42
==============================================

wandb: Currently logged in as: simonbruno (simonbruno-university-of-amsterdam) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run xmlrzlbt
wandb: Tracking run with wandb version 0.23.1
wandb: Run data is saved locally in /gpfs/home1/scur0012/simon/fact_fcgrad/external/SocialJax/algorithms/IPPO/wandb/run-20260127_152743-xmlrzlbt
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run ippo_cnn_coins_seed42
wandb: ⭐️ View project at https://wandb.ai/simonbruno-university-of-amsterdam/ippo-unfair-coin-test
wandb: 🚀 View run at https://wandb.ai/simonbruno-university-of-amsterdam/ippo-unfair-coin-test/runs/xmlrzlbt

Starting training: 3906.0 updates, 1,000,000,000.0 timesteps

Training:   0%|          | 0/3906.0 [00:00<?, ?update/s]/home/scur0012/.venvs/fcgrad/lib/python3.12/site-packages/jax/_src/ops/scatter.py:96: FutureWarning: scatter inputs have incompatible types: cannot safely cast value from dtype=int32 to dtype=int16 with jax_numpy_dtype_promotion='standard'. In future JAX releases this will result in an error.
  warnings.warn(
/gpfs/home1/scur0012/simon/fact_fcgrad/external/SocialJax/algorithms/IPPO/ippo_cnn_coins.py:843: DeprecationWarning: jax.tree_map is deprecated: use jax.tree.map (jax v0.4.25 or newer) or jax.tree_util.tree_map (any JAX version).
  metric = jax.tree_map(lambda x: x.mean(), traj_batch.info)
/gpfs/home1/scur0012/simon/fact_fcgrad/external/SocialJax/algorithms/IPPO/ippo_cnn_coins.py:846: DeprecationWarning: jax.tree_map is deprecated: use jax.tree.map (jax v0.4.25 or newer) or jax.tree_util.tree_map (any JAX version).
  loss_metrics = jax.tree_map(lambda x: x.mean(), loss_info)
/gpfs/home1/scur0012/simon/fact_fcgrad/external/SocialJax/algorithms/IPPO/ippo_cnn_coins.py:868: DeprecationWarning: jax.tree_map is deprecated: use jax.tree.map (jax v0.4.25 or newer) or jax.tree_util.tree_map (any JAX version).
  metric_converted = jax.tree_map(to_native, metric)

Training:   0%|          | 1/3906.0 [00:52<57:10:22, 52.71s/update]
Training:   0%|          | 1/3906.0 [00:52<57:10:22, 52.71s/update, return=-0.06, step=256000]
Training:   0%|          | 2/3906.0 [00:55<57:09:30, 52.71s/update, return=-63.76, step=512000]
Training:   0%|          | 3/3906.0 [00:58<57:08:37, 52.71s/update, return=-68.77, step=768000]
Training:   0%|          | 4/3906.0 [01:01<57:07:44, 52.71s/update, return=-64.25, step=1024000]
Training:   0%|          | 5/3906.0 [01:03<57:06:51, 52.71s/update, return=-48.50, step=1280000]
Training:   0%|          | 6/3906.0 [01:06<57:05:59, 52.71s/update, return=-62.89, step=1536000]
Training:   0%|          | 7/3906.0 [01:09<57:05:06, 52.71s/update, return=-47.74, step=1792000]
Training:   0%|          | 8/3906.0 [01:12<57:04:13, 52.71s/update, return=-61.77, step=2048000]
Training:   0%|          | 9/3906.0 [01:15<57:03:21, 52.71s/update, return=-47.25, step=2.3e+6] 
Training:   0%|          | 10/3906.0 [01:18<57:02:28, 52.71s/update, return=-61.10, step=2560000]
Training:   0%|          | 11/3906.0 [01:20<57:01:35, 52.71s/update, return=-47.20, step=2816000]
Training:   0%|          | 12/3906.0 [01:23<6:16:51,  5.81s/update, return=-47.20, step=2816000] 
Training:   0%|          | 12/3906.0 [01:23<6:16:51,  5.81s/update, return=-61.08, step=3072000]
Training:   0%|          | 13/3906.0 [01:26<6:16:45,  5.81s/update, return=-48.65, step=3328000]
Training:   0%|          | 14/3906.0 [01:29<6:16:40,  5.81s/update, return=-54.13, step=3584000]
Training:   0%|          | 15/3906.0 [01:32<6:16:34,  5.81s/update, return=-55.32, step=3840000]
Training:   0%|          | 16/3906.0 [01:35<6:16:28,  5.81s/update, return=-50.37, step=4.1e+6] 
Training:   0%|          | 17/3906.0 [01:37<6:16:22,  5.81s/update, return=-63.17, step=4352000]
Training:   0%|          | 17/3906.0 [01:40<6:16:22,  5.81s/update, return=-63.17, step=4352000]
Training:   0%|          | 18/3906.0 [01:40<6:16:16,  5.81s/update, return=-61.70, step=4608000]
Training:   0%|          | 19/3906.0 [01:43<6:16:11,  5.81s/update, return=-53.75, step=4864000]
Training:   1%|          | 20/3906.0 [01:46<6:16:05,  5.81s/update, return=-62.11, step=5120000]
Training:   1%|          | 21/3906.0 [01:49<6:15:59,  5.81s/update, return=-58.10, step=5376000]
Training:   1%|          | 22/3906.0 [01:51<6:15:53,  5.81s/update, return=-50.92, step=5632000]
Training:   1%|          | 23/3906.0 [01:54<4:25:03,  4.10s/update, return=-50.92, step=5632000]
Training:   1%|          | 23/3906.0 [01:54<4:25:03,  4.10s/update, return=-65.05, step=5888000]
Training:   1%|          | 24/3906.0 [01:57<4:24:59,  4.10s/update, return=-48.68, step=6144000]
Training:   1%|          | 25/3906.0 [02:00<4:24:55,  4.10s/update, return=-63.32, step=6.4e+6] 
Training:   1%|          | 26/3906.0 [02:03<4:24:51,  4.10s/update, return=-51.15, step=6656000]
Training:   1%|          | 27/3906.0 [02:06<4:24:47,  4.10s/update, return=-65.50, step=6912000]
Training:   1%|          | 28/3906.0 [02:08<4:24:43,  4.10s/update, return=-57.81, step=7168000]
Training:   1%|          | 28/3906.0 [02:10<4:24:43,  4.10s/update, return=-57.81, step=7168000]
Training:   1%|          | 29/3906.0 [02:11<4:24:39,  4.10s/update, return=-57.36, step=7424000]
Training:   1%|          | 30/3906.0 [02:14<4:24:35,  4.10s/update, return=-66.82, step=7680000]
Training:   1%|          | 31/3906.0 [02:17<4:24:31,  4.10s/update, return=-57.80, step=7936000]
Training:   1%|          | 32/3906.0 [02:20<4:24:27,  4.10s/update, return=-58.86, step=8192000]
Training:   1%|          | 33/3906.0 [02:22<4:24:23,  4.10s/update, return=-55.16, step=8448000]
Training:   1%|          | 34/3906.0 [02:25<3:47:16,  3.52s/update, return=-55.16, step=8448000]
Training:   1%|          | 34/3906.0 [02:25<3:47:16,  3.52s/update, return=-55.83, step=8.7e+6] 
Training:   1%|          | 35/3906.0 [02:28<3:47:12,  3.52s/update, return=-50.02, step=8960000]
Training:   1%|          | 36/3906.0 [02:31<3:47:09,  3.52s/update, return=-58.60, step=9216000]
Training:   1%|          | 37/3906.0 [02:34<3:47:05,  3.52s/update, return=-52.36, step=9472000]
Training:   1%|          | 38/3906.0 [02:37<3:47:01,  3.52s/update, return=-60.03, step=9728000]
Training:   1%|          | 39/3906.0 [02:39<3:46:58,  3.52s/update, return=-55.86, step=9984000]
Training:   1%|          | 39/3906.0 [02:40<3:46:58,  3.52s/update, return=-55.86, step=9984000]
Training:   1%|          | 40/3906.0 [02:42<3:46:54,  3.52s/update, return=-57.58, step=1.02e+7]
Training:   1%|          | 41/3906.0 [02:45<3:46:51,  3.52s/update, return=-51.85, step=1.05e+7]
Training:   1%|          | 42/3906.0 [02:48<3:46:47,  3.52s/update, return=-57.26, step=1.08e+7]
Training:   1%|          | 43/3906.0 [02:51<3:46:44,  3.52s/update, return=-58.11, step=1.1e+7] 
Training:   1%|          | 44/3906.0 [02:54<3:46:40,  3.52s/update, return=-55.25, step=1.13e+7]
Training:   1%|          | 45/3906.0 [02:56<3:28:58,  3.25s/update, return=-55.25, step=1.13e+7]
Training:   1%|          | 45/3906.0 [02:56<3:28:58,  3.25s/update, return=-55.62, step=1.15e+7]
Training:   1%|          | 46/3906.0 [02:59<3:28:55,  3.25s/update, return=-58.65, step=1.18e+7]
Training:   1%|          | 47/3906.0 [03:02<3:28:52,  3.25s/update, return=-67.05, step=1.2e+7] 
Training:   1%|          | 48/3906.0 [03:05<3:28:49,  3.25s/update, return=-52.85, step=1.23e+7]
Training:   1%|▏         | 49/3906.0 [03:08<3:28:45,  3.25s/update, return=-64.29, step=1.25e+7]
Training:   1%|▏         | 49/3906.0 [03:10<3:28:45,  3.25s/update, return=-64.29, step=1.25e+7]
Training:   1%|▏         | 50/3906.0 [03:10<3:28:42,  3.25s/update, return=-58.71, step=1.28e+7]
Training:   1%|▏         | 51/3906.0 [03:13<3:28:39,  3.25s/update, return=-61.00, step=1.31e+7]
Training:   1%|▏         | 52/3906.0 [03:16<3:28:36,  3.25s/update, return=-62.50, step=1.33e+7]
Training:   1%|▏         | 53/3906.0 [03:19<3:28:33,  3.25s/update, return=-66.83, step=1.36e+7]
Training:   1%|▏         | 54/3906.0 [03:22<3:28:29,  3.25s/update, return=-54.51, step=1.38e+7]
Training:   1%|▏         | 55/3906.0 [03:25<3:28:26,  3.25s/update, return=-65.24, step=1.41e+7]
Training:   1%|▏         | 56/3906.0 [03:27<3:18:34,  3.09s/update, return=-65.24, step=1.41e+7]
Training:   1%|▏         | 56/3906.0 [03:27<3:18:34,  3.09s/update, return=-60.76, step=1.43e+7]
Training:   1%|▏         | 57/3906.0 [03:30<3:18:31,  3.09s/update, return=-68.37, step=1.46e+7]
Training:   1%|▏         | 58/3906.0 [03:33<3:18:28,  3.09s/update, return=-63.62, step=1.48e+7]
Training:   2%|▏         | 59/3906.0 [03:36<3:18:25,  3.09s/update, return=-63.45, step=1.51e+7]
Training:   2%|▏         | 60/3906.0 [03:39<3:18:22,  3.09s/update, return=-59.60, step=1.54e+7]
Training:   2%|▏         | 60/3906.0 [03:40<3:18:22,  3.09s/update, return=-59.60, step=1.54e+7]
Training:   2%|▏         | 61/3906.0 [03:41<3:18:19,  3.09s/update, return=-65.18, step=1.56e+7]
Training:   2%|▏         | 62/3906.0 [03:44<3:18:16,  3.09s/update, return=-65.45, step=1.59e+7]
Training:   2%|▏         | 63/3906.0 [03:47<3:18:12,  3.09s/update, return=-72.75, step=1.61e+7]
Training:   2%|▏         | 64/3906.0 [03:50<3:18:09,  3.09s/update, return=-67.52, step=1.64e+7]
Training:   2%|▏         | 65/3906.0 [03:53<3:18:06,  3.09s/update, return=-74.58, step=1.66e+7]
Training:   2%|▏         | 66/3906.0 [03:56<3:18:03,  3.09s/update, return=-65.87, step=1.69e+7]
Training:   2%|▏         | 67/3906.0 [03:58<3:12:04,  3.00s/update, return=-65.87, step=1.69e+7]
Training:   2%|▏         | 67/3906.0 [03:58<3:12:04,  3.00s/update, return=-83.54, step=1.72e+7]
Training:   2%|▏         | 68/3906.0 [04:01<3:12:01,  3.00s/update, return=-85.28, step=1.74e+7]
Training:   2%|▏         | 69/3906.0 [04:04<3:11:58,  3.00s/update, return=-87.71, step=1.77e+7]
Training:   2%|▏         | 70/3906.0 [04:07<3:11:55,  3.00s/update, return=-92.77, step=1.79e+7]
Training:   2%|▏         | 70/3906.0 [04:10<3:11:55,  3.00s/update, return=-92.77, step=1.79e+7]
Training:   2%|▏         | 71/3906.0 [04:10<3:11:52,  3.00s/update, return=-102.14, step=1.82e+7]
Training:   2%|▏         | 72/3906.0 [04:13<3:11:49,  3.00s/update, return=-110.04, step=1.84e+7]
Training:   2%|▏         | 73/3906.0 [04:15<3:11:46,  3.00s/update, return=-111.55, step=1.87e+7]
Training:   2%|▏         | 74/3906.0 [04:18<3:11:43,  3.00s/update, return=-125.78, step=1.89e+7]
Training:   2%|▏         | 75/3906.0 [04:21<3:11:40,  3.00s/update, return=-129.35, step=1.92e+7]
Training:   2%|▏         | 76/3906.0 [04:24<3:11:37,  3.00s/update, return=-137.35, step=1.95e+7]
Training:   2%|▏         | 77/3906.0 [04:27<3:11:34,  3.00s/update, return=-140.26, step=1.97e+7]
Training:   2%|▏         | 78/3906.0 [04:29<3:07:45,  2.94s/update, return=-140.26, step=1.97e+7]
Training:   2%|▏         | 78/3906.0 [04:29<3:07:45,  2.94s/update, return=-148.58, step=2e+7]   
Training:   2%|▏         | 79/3906.0 [04:32<3:07:42,  2.94s/update, return=-149.01, step=2.02e+7]
Training:   2%|▏         | 80/3906.0 [04:35<3:07:39,  2.94s/update, return=-155.09, step=2.05e+7]
Training:   2%|▏         | 81/3906.0 [04:38<3:07:36,  2.94s/update, return=-160.18, step=2.07e+7]
Training:   2%|▏         | 81/3906.0 [04:40<3:07:36,  2.94s/update, return=-160.18, step=2.07e+7]
Training:   2%|▏         | 82/3906.0 [04:41<3:07:33,  2.94s/update, return=-158.25, step=2.1e+7] 
Training:   2%|▏         | 83/3906.0 [04:44<3:07:30,  2.94s/update, return=-163.87, step=2.12e+7]
Training:   2%|▏         | 84/3906.0 [04:46<3:07:27,  2.94s/update, return=-167.73, step=2.15e+7]
Training:   2%|▏         | 85/3906.0 [04:49<3:07:25,  2.94s/update, return=-169.55, step=2.18e+7]
Training:   2%|▏         | 86/3906.0 [04:52<3:07:22,  2.94s/update, return=-172.13, step=2.2e+7] 
Training:   2%|▏         | 87/3906.0 [04:55<3:07:19,  2.94s/update, return=-172.85, step=2.23e+7]
Training:   2%|▏         | 88/3906.0 [04:58<3:07:16,  2.94s/update, return=-174.18, step=2.25e+7]
Training:   2%|▏         | 89/3906.0 [05:00<3:04:45,  2.90s/update, return=-174.18, step=2.25e+7]
Training:   2%|▏         | 89/3906.0 [05:00<3:04:45,  2.90s/update, return=-171.61, step=2.28e+7]
Training:   2%|▏         | 90/3906.0 [05:03<3:04:42,  2.90s/update, return=-178.68, step=2.3e+7] 
Training:   2%|▏         | 91/3906.0 [05:06<3:04:39,  2.90s/update, return=-179.24, step=2.33e+7]
Training:   2%|▏         | 92/3906.0 [05:09<3:04:36,  2.90s/update, return=-178.35, step=2.36e+7]
Training:   2%|▏         | 93/3906.0 [05:12<3:04:33,  2.90s/update, return=-179.43, step=2.38e+7]
Training:   2%|▏         | 94/3906.0 [05:15<3:04:30,  2.90s/update, return=-180.76, step=2.41e+7]
Training:   2%|▏         | 95/3906.0 [05:17<3:04:27,  2.90s/update, return=-181.54, step=2.43e+7]
Training:   2%|▏         | 95/3906.0 [05:20<3:04:27,  2.90s/update, return=-181.54, step=2.43e+7]
Training:   2%|▏         | 96/3906.0 [05:20<3:04:24,  2.90s/update, return=-182.05, step=2.46e+7]
Training:   2%|▏         | 97/3906.0 [05:23<3:04:21,  2.90s/update, return=-180.72, step=2.48e+7]
Training:   3%|▎         | 98/3906.0 [05:26<3:04:19,  2.90s/update, return=-186.63, step=2.51e+7]
Training:   3%|▎         | 99/3906.0 [05:29<3:04:16,  2.90s/update, return=-184.74, step=2.53e+7]
Training:   3%|▎         | 100/3906.0 [05:32<3:02:34,  2.88s/update, return=-184.74, step=2.53e+7]
Training:   3%|▎         | 100/3906.0 [05:32<3:02:34,  2.88s/update, return=-183.27, step=2.56e+7]
