==============================================
  IPPO Unfair Coin Game (Individual) - Full Training
==============================================
Job ID: 18512731
Node: gcn5
Time limit: 10 hours
Seed: 42

Loading modules...
Activating virtual environment...

🔍 Verifying JAX GPU setup...
   JAX 0.4.30, Backend: gpu, Devices: [cuda(id=0)]

==============================================
  Running: ippo_unfair_coin_ind
  Config: Full paper experiment (1B timesteps)
  Environment: Unfair Coin Game (green_coin_prob=0.9375)
  Rewards: Individual (shared_rewards=False)
  Seed: 42
==============================================

wandb: Currently logged in as: simonbruno (simonbruno-university-of-amsterdam) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run esx3k0w8
wandb: Tracking run with wandb version 0.23.1
wandb: Run data is saved locally in /gpfs/home1/scur0012/simon/fact_fcgrad/external/SocialJax/algorithms/IPPO/wandb/run-20260121_033849-esx3k0w8
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run ippo_cnn_coins_seed42
wandb: ⭐️ View project at https://wandb.ai/simonbruno-university-of-amsterdam/ippo-unfair-coin-test
wandb: 🚀 View run at https://wandb.ai/simonbruno-university-of-amsterdam/ippo-unfair-coin-test/runs/esx3k0w8

Starting training: 3906.0 updates, 1,000,000,000.0 timesteps

Training:   0%|          | 0/3906.0 [00:00<?, ?update/s]/home/scur0012/.venvs/fcgrad/lib/python3.12/site-packages/jax/_src/ops/scatter.py:96: FutureWarning: scatter inputs have incompatible types: cannot safely cast value from dtype=int32 to dtype=int16 with jax_numpy_dtype_promotion='standard'. In future JAX releases this will result in an error.
  warnings.warn(
/gpfs/home1/scur0012/simon/fact_fcgrad/external/SocialJax/algorithms/IPPO/ippo_cnn_coins.py:843: DeprecationWarning: jax.tree_map is deprecated: use jax.tree.map (jax v0.4.25 or newer) or jax.tree_util.tree_map (any JAX version).
  metric = jax.tree_map(lambda x: x.mean(), traj_batch.info)
/gpfs/home1/scur0012/simon/fact_fcgrad/external/SocialJax/algorithms/IPPO/ippo_cnn_coins.py:846: DeprecationWarning: jax.tree_map is deprecated: use jax.tree.map (jax v0.4.25 or newer) or jax.tree_util.tree_map (any JAX version).
  loss_metrics = jax.tree_map(lambda x: x.mean(), loss_info)
/gpfs/home1/scur0012/simon/fact_fcgrad/external/SocialJax/algorithms/IPPO/ippo_cnn_coins.py:868: DeprecationWarning: jax.tree_map is deprecated: use jax.tree.map (jax v0.4.25 or newer) or jax.tree_util.tree_map (any JAX version).
  metric_converted = jax.tree_map(to_native, metric)

Training:   0%|          | 1/3906.0 [00:33<36:47:31, 33.92s/update]
Training:   0%|          | 1/3906.0 [00:33<36:47:31, 33.92s/update, return=0.00, step=256000]
Training:   0%|          | 2/3906.0 [00:38<36:46:57, 33.92s/update, return=0.12, step=512000]
Training:   0%|          | 3/3906.0 [00:42<36:46:23, 33.92s/update, return=-0.20, step=768000]
Training:   0%|          | 4/3906.0 [00:46<36:45:49, 33.92s/update, return=1.07, step=1024000]
Training:   0%|          | 5/3906.0 [00:50<36:45:15, 33.92s/update, return=2.04, step=1280000]
Training:   0%|          | 6/3906.0 [00:54<36:44:41, 33.92s/update, return=3.54, step=1536000]
Training:   0%|          | 7/3906.0 [00:58<36:44:07, 33.92s/update, return=-3.74, step=1792000]
Training:   0%|          | 8/3906.0 [01:03<36:43:33, 33.92s/update, return=6.58, step=2048000] 
Training:   0%|          | 9/3906.0 [01:07<7:05:36,  6.55s/update, return=6.58, step=2048000] 
Training:   0%|          | 9/3906.0 [01:07<7:05:36,  6.55s/update, return=0.31, step=2.3e+6] 
Training:   0%|          | 10/3906.0 [01:11<7:05:30,  6.55s/update, return=3.92, step=2560000]
Training:   0%|          | 11/3906.0 [01:15<7:05:23,  6.55s/update, return=5.35, step=2816000]
Training:   0%|          | 12/3906.0 [01:19<7:05:17,  6.55s/update, return=0.17, step=3072000]
Training:   0%|          | 12/3906.0 [01:19<7:05:17,  6.55s/update, return=0.17, step=3072000]
Training:   0%|          | 13/3906.0 [01:23<7:05:10,  6.55s/update, return=2.76, step=3328000]
Training:   0%|          | 14/3906.0 [01:27<7:05:04,  6.55s/update, return=3.85, step=3584000]
Training:   0%|          | 15/3906.0 [01:32<7:04:57,  6.55s/update, return=7.95, step=3840000]
Training:   0%|          | 16/3906.0 [01:36<7:04:51,  6.55s/update, return=1.52, step=4.1e+6] 
Training:   0%|          | 17/3906.0 [01:40<5:36:38,  5.19s/update, return=1.52, step=4.1e+6]
Training:   0%|          | 17/3906.0 [01:40<5:36:38,  5.19s/update, return=3.29, step=4352000]
Training:   0%|          | 18/3906.0 [01:44<5:36:33,  5.19s/update, return=1.21, step=4608000]
Training:   0%|          | 19/3906.0 [01:48<5:36:27,  5.19s/update, return=4.33, step=4864000]
Training:   1%|          | 20/3906.0 [01:52<5:36:22,  5.19s/update, return=5.62, step=5120000]
Training:   1%|          | 21/3906.0 [01:57<5:36:17,  5.19s/update, return=0.58, step=5376000]
Training:   1%|          | 21/3906.0 [02:00<5:36:17,  5.19s/update, return=0.58, step=5376000]
Training:   1%|          | 22/3906.0 [02:01<5:36:12,  5.19s/update, return=-2.49, step=5632000]
Training:   1%|          | 23/3906.0 [02:05<5:36:07,  5.19s/update, return=3.92, step=5888000] 
Training:   1%|          | 24/3906.0 [02:09<5:36:01,  5.19s/update, return=-0.55, step=6144000]
Training:   1%|          | 25/3906.0 [02:13<5:05:55,  4.73s/update, return=-0.55, step=6144000]
Training:   1%|          | 25/3906.0 [02:13<5:05:55,  4.73s/update, return=1.10, step=6.4e+6]  
Training:   1%|          | 26/3906.0 [02:17<5:05:51,  4.73s/update, return=3.16, step=6656000]
Training:   1%|          | 27/3906.0 [02:22<5:05:46,  4.73s/update, return=4.41, step=6912000]
Training:   1%|          | 28/3906.0 [02:26<5:05:41,  4.73s/update, return=3.57, step=7168000]
Training:   1%|          | 28/3906.0 [02:30<5:05:41,  4.73s/update, return=3.57, step=7168000]
Training:   1%|          | 29/3906.0 [02:30<5:05:36,  4.73s/update, return=-6.76, step=7424000]
Training:   1%|          | 30/3906.0 [02:34<5:05:32,  4.73s/update, return=4.10, step=7680000] 
Training:   1%|          | 31/3906.0 [02:38<5:05:27,  4.73s/update, return=-0.82, step=7936000]
Training:   1%|          | 32/3906.0 [02:42<5:05:22,  4.73s/update, return=0.65, step=8192000] 
Training:   1%|          | 33/3906.0 [02:46<4:50:54,  4.51s/update, return=0.65, step=8192000]
Training:   1%|          | 33/3906.0 [02:46<4:50:54,  4.51s/update, return=7.17, step=8448000]
Training:   1%|          | 34/3906.0 [02:51<4:50:49,  4.51s/update, return=3.98, step=8.7e+6] 
Training:   1%|          | 35/3906.0 [02:55<4:50:45,  4.51s/update, return=1.91, step=8960000]
Training:   1%|          | 36/3906.0 [02:59<4:50:40,  4.51s/update, return=5.61, step=9216000]
Training:   1%|          | 36/3906.0 [03:00<4:50:40,  4.51s/update, return=5.61, step=9216000]
Training:   1%|          | 37/3906.0 [03:03<4:50:36,  4.51s/update, return=5.93, step=9472000]
Training:   1%|          | 38/3906.0 [03:07<4:50:31,  4.51s/update, return=0.22, step=9728000]
Training:   1%|          | 39/3906.0 [03:11<4:50:27,  4.51s/update, return=8.89, step=9984000]
Training:   1%|          | 40/3906.0 [03:16<4:50:22,  4.51s/update, return=-1.39, step=1.02e+7]
Training:   1%|          | 41/3906.0 [03:20<4:42:15,  4.38s/update, return=-1.39, step=1.02e+7]
Training:   1%|          | 41/3906.0 [03:20<4:42:15,  4.38s/update, return=4.63, step=1.05e+7] 
Training:   1%|          | 42/3906.0 [03:24<4:42:10,  4.38s/update, return=3.62, step=1.08e+7]
Training:   1%|          | 43/3906.0 [03:28<4:42:06,  4.38s/update, return=4.63, step=1.1e+7] 
Training:   1%|          | 44/3906.0 [03:32<4:42:02,  4.38s/update, return=11.66, step=1.13e+7]
Training:   1%|          | 45/3906.0 [03:36<4:41:57,  4.38s/update, return=-1.28, step=1.15e+7]
Training:   1%|          | 45/3906.0 [03:40<4:41:57,  4.38s/update, return=-1.28, step=1.15e+7]
Training:   1%|          | 46/3906.0 [03:41<4:41:53,  4.38s/update, return=1.57, step=1.18e+7] 
Training:   1%|          | 47/3906.0 [03:45<4:41:48,  4.38s/update, return=6.64, step=1.2e+7] 
Training:   1%|          | 48/3906.0 [03:49<4:41:44,  4.38s/update, return=0.13, step=1.23e+7]
Training:   1%|▏         | 49/3906.0 [03:53<4:36:47,  4.31s/update, return=0.13, step=1.23e+7]
Training:   1%|▏         | 49/3906.0 [03:53<4:36:47,  4.31s/update, return=11.64, step=1.25e+7]
Training:   1%|▏         | 50/3906.0 [03:57<4:36:42,  4.31s/update, return=-2.30, step=1.28e+7]
Training:   1%|▏         | 51/3906.0 [04:01<4:36:38,  4.31s/update, return=12.64, step=1.31e+7]
Training:   1%|▏         | 52/3906.0 [04:05<4:36:34,  4.31s/update, return=2.14, step=1.33e+7] 
Training:   1%|▏         | 52/3906.0 [04:10<4:36:34,  4.31s/update, return=2.14, step=1.33e+7]
Training:   1%|▏         | 53/3906.0 [04:10<4:36:30,  4.31s/update, return=7.96, step=1.36e+7]
Training:   1%|▏         | 54/3906.0 [04:14<4:36:25,  4.31s/update, return=4.32, step=1.38e+7]
Training:   1%|▏         | 55/3906.0 [04:18<4:36:21,  4.31s/update, return=6.54, step=1.41e+7]
Training:   1%|▏         | 56/3906.0 [04:22<4:36:17,  4.31s/update, return=3.99, step=1.43e+7]
Training:   1%|▏         | 57/3906.0 [04:26<4:33:07,  4.26s/update, return=3.99, step=1.43e+7]
Training:   1%|▏         | 57/3906.0 [04:26<4:33:07,  4.26s/update, return=5.94, step=1.46e+7]
Training:   1%|▏         | 58/3906.0 [04:30<4:33:02,  4.26s/update, return=2.31, step=1.48e+7]
Training:   2%|▏         | 59/3906.0 [04:35<4:32:58,  4.26s/update, return=9.57, step=1.51e+7]
Training:   2%|▏         | 60/3906.0 [04:39<4:32:54,  4.26s/update, return=3.15, step=1.54e+7]
Training:   2%|▏         | 60/3906.0 [04:40<4:32:54,  4.26s/update, return=3.15, step=1.54e+7]
Training:   2%|▏         | 61/3906.0 [04:43<4:32:50,  4.26s/update, return=9.90, step=1.56e+7]
Training:   2%|▏         | 62/3906.0 [04:47<4:32:45,  4.26s/update, return=2.48, step=1.59e+7]
Training:   2%|▏         | 63/3906.0 [04:51<4:32:41,  4.26s/update, return=16.76, step=1.61e+7]
Training:   2%|▏         | 64/3906.0 [04:55<4:32:37,  4.26s/update, return=1.47, step=1.64e+7] 
Training:   2%|▏         | 65/3906.0 [05:00<4:30:31,  4.23s/update, return=1.47, step=1.64e+7]
Training:   2%|▏         | 65/3906.0 [05:00<4:30:31,  4.23s/update, return=18.56, step=1.66e+7]
Training:   2%|▏         | 66/3906.0 [05:04<4:30:26,  4.23s/update, return=3.37, step=1.69e+7] 
Training:   2%|▏         | 67/3906.0 [05:08<4:30:22,  4.23s/update, return=17.45, step=1.72e+7]
Training:   2%|▏         | 68/3906.0 [05:12<4:30:18,  4.23s/update, return=3.03, step=1.74e+7] 
Training:   2%|▏         | 69/3906.0 [05:16<4:30:14,  4.23s/update, return=10.83, step=1.77e+7]
Training:   2%|▏         | 69/3906.0 [05:20<4:30:14,  4.23s/update, return=10.83, step=1.77e+7]
Training:   2%|▏         | 70/3906.0 [05:20<4:30:09,  4.23s/update, return=6.78, step=1.79e+7] 
Training:   2%|▏         | 71/3906.0 [05:24<4:30:05,  4.23s/update, return=16.27, step=1.82e+7]
Training:   2%|▏         | 72/3906.0 [05:29<4:30:01,  4.23s/update, return=5.19, step=1.84e+7] 
Training:   2%|▏         | 73/3906.0 [05:33<4:28:36,  4.20s/update, return=5.19, step=1.84e+7]
Training:   2%|▏         | 73/3906.0 [05:33<4:28:36,  4.20s/update, return=22.93, step=1.87e+7]
Training:   2%|▏         | 74/3906.0 [05:37<4:28:32,  4.20s/update, return=7.14, step=1.89e+7] 
Training:   2%|▏         | 75/3906.0 [05:41<4:28:28,  4.20s/update, return=17.65, step=1.92e+7]
Training:   2%|▏         | 76/3906.0 [05:45<4:28:24,  4.20s/update, return=15.44, step=1.95e+7]
Training:   2%|▏         | 77/3906.0 [05:49<4:28:19,  4.20s/update, return=14.59, step=1.97e+7]
Training:   2%|▏         | 77/3906.0 [05:50<4:28:19,  4.20s/update, return=14.59, step=1.97e+7]
Training:   2%|▏         | 78/3906.0 [05:54<4:28:15,  4.20s/update, return=19.76, step=2e+7]   
Training:   2%|▏         | 79/3906.0 [05:58<4:28:11,  4.20s/update, return=22.21, step=2.02e+7]
Training:   2%|▏         | 80/3906.0 [06:02<4:28:07,  4.20s/update, return=26.53, step=2.05e+7]
Training:   2%|▏         | 81/3906.0 [06:06<4:27:06,  4.19s/update, return=26.53, step=2.05e+7]
Training:   2%|▏         | 81/3906.0 [06:06<4:27:06,  4.19s/update, return=32.81, step=2.07e+7]
Training:   2%|▏         | 82/3906.0 [06:10<4:27:02,  4.19s/update, return=28.45, step=2.1e+7] 
Training:   2%|▏         | 83/3906.0 [06:14<4:26:58,  4.19s/update, return=40.14, step=2.12e+7]
Training:   2%|▏         | 84/3906.0 [06:19<4:26:54,  4.19s/update, return=36.22, step=2.15e+7]
